date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:18	53402/53402	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-d09a%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:18	33600/33600	---M--	200	added ('OK')	font/woff	etag:%225f73492f-8340%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:18	53184/53184	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-cfc0%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:18	99677/99677	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-1855d%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Lig-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:18	46490/46490	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-b59a%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:19	46490/46490	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-b59a%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:19	27192/27192	---M--	200	added ('OK')	font/woff	etag:%225f73492f-6a38%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:19	46244/46244	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-b4a4%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:19	101673/101673	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-18d29%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-LigIta-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:20	54102/54102	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-d356%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:20	54102/54102	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-d356%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:20	33924/33924	---M--	200	added ('OK')	font/woff	etag:%225f73492f-8484%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:20	53876/53876	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-d274%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:21	101125/101125	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-18b05%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Reg-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:21	74810/74810	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-1243a%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:21	74810/74810	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-1243a%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:21	37840/37840	---M--	200	added ('OK')	font/woff	etag:%225f73492f-93d0%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:21	74588/74588	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-1235c%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:22	55858/55858	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-da32%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:22	103116/103116	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-192cc%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-RegIta-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:22	55858/55858	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-da32%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:23	34404/34404	---M--	200	added ('OK')	font/woff	etag:%225f73492f-8664%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:23	55644/55644	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-d95c%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:23	101511/101511	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-18c87%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bol-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:23	76762/76762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-12bda%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:23	76762/76762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-12bda%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:24	38120/38120	---M--	200	added ('OK')	font/woff	etag:%225f73492f-94e8%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:24	76520/76520	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-12ae8%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:24	104710/104710	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-19906%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BolIta-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:24	53590/53590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-d156%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:25	53590/53590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-d156%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:25	32964/32964	---M--	200	added ('OK')	font/woff	etag:%225f73492f-80c4%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:25	53372/53372	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-d07c%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:25	102628/102628	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-190e4%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-Bla-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:26	70998/70998	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-11556%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.eot	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:26	70998/70998	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f73492f-11556%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.eot?	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfontd41d.eot	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:26	36596/36596	---M--	200	added ('OK')	font/woff	etag:%225f73492f-8ef4%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.woff	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.woff	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:26	70752/70752	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-11460%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:27	104326/104326	---M--	200	added ('OK')	image/svg+xml	etag:%225f73492f-19786%22	https://fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/lato/Lato-BlaIta-webfont.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:27	245276/245276	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-3be1c%22	https://fitkrub.odoo.com/web/static/src/fonts/google/Montserrat/Montserrat-Regular.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/google/Montserrat/Montserrat-Regular.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:28	96428/96428	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-178ac%22	https://fitkrub.odoo.com/web/static/src/fonts/google/Open_Sans/Open_Sans-Regular.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/google/Open_Sans/Open_Sans-Regular.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:28	86480/86480	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-151d0%22	https://fitkrub.odoo.com/web/static/src/fonts/google/Oswald/Oswald-Regular.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/google/Oswald/Oswald-Regular.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:28	171280/171280	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-29d10%22	https://fitkrub.odoo.com/web/static/src/fonts/google/Raleway/Raleway-Regular.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/google/Raleway/Raleway-Regular.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:28	170984/170984	---M--	200	added ('OK')	application/octet-stream	etag:%225f73492f-29be8%22	https://fitkrub.odoo.com/web/static/src/fonts/google/Roboto/Roboto-Regular.ttf	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web/static/src/fonts/google/Roboto/Roboto-Regular.ttf	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
23:03:28	366/366	---M--	200	added ('OK')	image/svg+xml	etag:%225f734958-16e%22	https://fitkrub.odoo.com/web_enterprise/static/src/img/home-menu-bg-overlay.svg	C:/Mis%20lugares%20Web/Fitkrub/fitkrub.odoo.com/web_enterprise/static/src/img/home-menu-bg-overlay.svg	(from https://fitkrub.odoo.com/web/content/167-8f1ddf5/1/web.assets_common.css)
